PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
13000000.0,3,3,-1.0,6.0,1,مونتي نابوليوني,218,1,1,1,1,0,0,0,0,5,30.048423767089844,31.630369186401367,تاون هاوس
20100000.0,4,4,-1.0,5.0,1,ذا فاليز,255,0,1,0,0,1,0,0,0,4,30.04700469970703,31.655561447143555,تاون هاوس
11146348.0,3,2,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,210,0,1,0,0,0,0,0,0,2,30.050914764404297,31.673290252685547,أي فيلا
9670684.0,3,2,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,220,0,1,0,0,0,1,0,0,3,30.050914764404297,31.673290252685547,أي فيلا
19822506.0,4,4,-1.0,0.0,0,أليفا,210,1,1,1,0,0,0,0,0,5,30.057632446289062,31.67757797241211,تاون هاوس
14700000.0,3,4,-1.0,5.0,1,ذا فاليز,195,0,1,0,0,0,0,0,0,2,30.04700469970703,31.655561447143555,فيلا
28950000.0,3,3,-1.0,7.0,1,ذا وندر مارك,210,1,1,1,0,1,0,0,0,10,30.048582077026367,31.640851974487305,فيلا
19600000.0,3,4,-1.0,0.0,0,ذا وندر مارك,175,1,1,1,1,0,0,0,1,6,30.048582077026367,31.640851974487305,فيلا
8000000.0,3,4,5.0,0.0,0,كابيتال جاردنز - بالم هيلز,254,0,1,0,0,0,0,0,0,3,30.106813430786133,31.693866729736328,شقة
9000000.0,4,5,-1.0,0.0,0,سراي,260,0,1,0,0,0,1,0,0,4,30.09417724609375,31.70400047302246,فيلا
4670000.0,2,3,3.0,0.0,0,كابيتال جاردنز - بالم هيلز,165,0,1,0,0,0,0,0,0,2,30.106813430786133,31.693866729736328,شقة
4750000.0,3,3,4.0,0.0,0,سراي,164,0,1,0,0,1,0,0,0,6,30.09417724609375,31.70400047302246,شقة
11200000.0,3,4,-1.0,0.0,0,البوسكو سيتي,230,0,1,0,1,1,0,0,0,8,30.07013320922852,31.66701889038086,دوبلكس
7200000.0,3,3,4.0,0.0,0,كابيتال جاردنز - بالم هيلز,205,1,1,1,0,1,0,0,0,9,30.106813430786133,31.693866729736328,شقة
7017437.0,3,2,2.0,0.0,0,ماونتن فيو مدينة المستقبل,145,0,1,0,0,0,0,0,0,2,30.050914764404297,31.673290252685547,شقة
5700000.0,3,4,4.0,0.0,0,كابيتال جاردنز - بالم هيلز,205,0,1,0,0,0,0,0,0,2,30.106813430786133,31.693866729736328,شقة
13462084.0,4,4,-1.0,0.0,0,مونتي نابوليوني,225,0,1,1,1,1,0,0,0,10,30.048423767089844,31.630369186401367,تاون هاوس
13462084.0,3,4,-1.0,8.0,1,مونتي نابوليوني,225,0,1,1,1,1,0,0,0,9,30.048423767089844,31.630369186401367,تاون هاوس
13860000.0,3,3,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,250,0,1,0,1,0,0,0,0,3,30.050914764404297,31.673290252685547,دوبلكس
21000000.0,3,3,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,273,0,1,0,1,0,1,0,0,4,30.050914764404297,31.673290252685547,تاون هاوس
3200000.0,3,2,-1.0,0.0,0,سراي,160,1,1,1,0,1,1,0,0,14,30.09417724609375,31.70400047302246,فيلا
5700000.0,3,2,6.0,0.0,0,هاب تاون,168,0,0,1,0,0,0,0,1,9,30.051855087280277,31.6932315826416,شقة
5424000.0,2,2,4.0,0.0,0,بلوم فيلدز,120,0,1,0,0,0,0,0,0,3,30.051855087280277,31.6932315826416,شقة
17900000.0,3,4,-1.0,0.0,0,كوكون,201,1,1,1,1,0,0,0,0,4,30.070207595825195,31.657861709594727,تاون هاوس
17253456.0,5,4,-1.0,0.0,0,هاب تاون,195,1,1,1,1,1,1,0,1,15,30.051855087280277,31.6932315826416,تاون هاوس
8000000.0,4,5,-1.0,0.0,0,سراي,215,1,1,0,1,1,1,1,0,7,30.09417724609375,31.70400047302246,فيلا
6800000.0,4,4,-1.0,0.0,0,نيوبوليس - وادي دجلة,315,1,1,1,1,1,1,0,1,16,30.06814956665039,31.62821388244629,دوبلكس
5500000.0,3,2,4.0,0.0,0,نيوبوليس - وادي دجلة,160,1,1,1,0,0,0,0,1,12,30.06814956665039,31.62821388244629,شقة
4300000.0,3,3,4.0,0.0,0,جرين سكوير,168,0,1,1,0,1,0,0,0,5,30.046466827392575,31.63002014160156,شقة
14000000.0,5,6,-1.0,0.0,0,سراي,295,1,1,1,0,0,0,0,0,5,30.09417724609375,31.70400047302246,فيلا
13000000.0,3,4,-1.0,0.0,0,جرين سكوير,250,0,1,0,0,0,0,0,0,3,30.046466827392575,31.63002014160156,تاون هاوس
